From_Date,To_Date,Season_Type
2026-01-01,2026-01-01,Super Peak
2026-01-02,2026-01-10,Peak
2026-01-11,2026-01-29,Low
2026-01-30,2026-02-01,Peak
2026-02-02,2026-02-12,Low
2026-02-13,2026-02-14,Peak
2026-02-15,2026-02-21,Super Peak
2026-02-22,2026-02-22,Peak
2026-02-23,2026-03-18,Low
2026-03-19,2026-03-20,Peak
2026-03-21,2026-03-28,Super Peak
2026-03-29,2026-03-29,Peak
2026-03-30,2026-04-30,Low
2026-05-01,2026-05-03,Peak
2026-05-04,2026-05-21,Low
2026-05-22,2026-05-26,Peak
2026-05-27,2026-05-31,Super Peak
2026-06-01,2026-06-07,Peak
2026-06-08,2026-06-20,Low
2026-06-21,2026-06-21,Peak
2026-06-22,2026-08-27,Low
2026-08-28,2026-08-30,Peak
2026-08-31,2026-08-31,Super Peak
2026-09-01,2026-09-06,Peak
2026-09-07,2026-09-15,Low
2026-09-16,2026-09-16,Peak
2026-09-17,2026-11-05,Low
2026-11-06,2026-11-07,Peak
2026-11-08,2026-11-08,Super Peak
2026-11-09,2026-11-09,Peak
2026-11-10,2026-12-03,Low
2026-12-04,2026-12-23,Peak
2026-12-24,2026-12-26,Super Peak
2026-12-27,2026-12-30,Peak
2026-12-31,2026-12-31,Super Peak
